name,country,taxonomy,lat,lng
,,,,,
Agarwall Bina,,India ,Economics ,,
Kou Lu,Harvard University,China ,Classical Chinese Literature,42.3734741210938,-71.1179580688477
Koyama Sadao,Tohoku University ,Japan ,Law ,38.9000015258789,140.682998657227
Kozawa Etsuo,Waseda University ,Japan ,English Linguistics ,35.7092018127441,139.719329833984
Ku Kun-hui,National Tsing Hua University,Taiwan,Anthropology,34.5125885009766,109.771896362305
Ku Wei-ying,National Taiwan University,Taiwan,History ,23.7489929199219,120.971282958984
Kuah-Pearce Khun Eng,University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Kuan Tung-keui,Academia Sinica ,Taiwan,Chinese History ,40.5150184631348,20.8693809509277
Kubouchi Tadao,University of Tokyo ,Japan ,,35.7133331298828,139.762222290039
Kueh Yak Yeow,Chinese University of Hong Kong ,Hong Kong ,Economics ,22.2841663360596,114.13777923584
Kumakura Isao,Kyoto University,Japan ,Japanese History,35.0262107849121,135.780838012695
Kung Phoak,University of Warwick,Cambodia,International Studies ,52.3835906982422,-1.56175494194031
Kuok Severin,Jawaharlal Nehru University ,India ,Chinese Studies,28.5420894622803,77.1672515869141
Kuong Teilee,Nagoya University ,Japan ,Law ,35.1506500244141,136.919036865234
Kurita Hidehiko,Tohoku University ,Japan ,Religious Studies,38.9000015258789,140.682998657227
Kuriyama Tadashi,Tohoku University ,Japan ,Economics ,38.9000015258789,140.682998657227
Kuroda Akinobu,University of Tokyo ,Japan ,History ,35.7133331298828,139.762222290039
Kuroda Tatsuaki,Nagoya University ,Japan ,Public Economics,35.1506500244141,136.919036865234
Kurokawa Yoichi,Osaka University,Japan ,Comparative Literature,34.8191680908203,135.526672363281
Kuwahara Teruo,Tohoku University ,Japan ,English Linguistics ,38.9000015258789,140.682998657227
Kweon Sug-In,Seoul National University ,Korea ,Anthropology,37.4599990844727,126.949996948242
Kwon Huck Ju,Seoul National University ,Korea ,Political Science ,37.4599990844727,126.949996948242
Kwon Young-min,Seoul National University ,Korea ,Korean Literature ,37.4599990844727,126.949996948242
Kwon Tae-Eok,Seoul National University ,Korea ,Korean History,37.4599990844727,126.949996948242
Lah Hyun-soo,,Korea ,,,
Lai Cheng-chung,National Tsing Hua University,Taiwan,Economics ,34.5125885009766,109.771896362305
Lai Tsz Pang John,Chinese University of Hong Kong ,Hong Kong ,Literature,22.2841663360596,114.13777923584
Lai Wen-hui,Academia Sinica ,Taiwan,Agricultural Economics,40.5150184631348,20.8693809509277
Lam Joanna Kit-chun,Harvard University,Hong Kong ,Economics ,42.3734741210938,-71.1179580688477
Lam Quang Dong,Vietnam National University-Hanoi ,Vietnam ,English Education ,16.1676921844482,107.839050292969
Lam Wengcheong,Harvard University,Hong Kong ,Archaeology ,42.3734741210938,-71.1179580688477
Lan Pei-Chia,National Taiwan University,Taiwan,Sociology ,23.7489929199219,120.971282958984
Lan Linyou,East China Normal University,China ,Anthropology,42.7576217651367,-82.4837265014648
Lao Yung-wei,Chinese University of Hong Kong ,Hong Kong ,Philosophy,22.2841663360596,114.13777923584
Lau Siu-kai,Chinese University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Lau Chong-Fuk,Chinese University of Hong Kong ,Hong Kong ,Philosophy,22.2841663360596,114.13777923584
Lau Yee Man,University of Hong Kong ,Hong Kong ,Social Psychology ,22.2841663360596,114.13777923584
Laungaramsri Pinkaew,Chiang Mai University,Thailand,Anthropology,18.7670001983643,99.0261611938477
Le Thi Lien,Institute of Archaeology,Vietnam ,Archaeology ,38.3835906982422,-81.7656936645508
Le Dinh Ba,Dalat University,Vietnam ,Cultural Anthropology ,11.9471368789673,108.44556427002
Le Cung,Hue University,Vietnam ,History ,16.4666481018066,107.58470916748
Le Min Tuan,Harvard University,Vietnam ,Public Administration ,42.3734741210938,-71.1179580688477
Le Khuong Thuy,Vietnam Academy of Social Sciences,Vietnam ,History ,16.1676921844482,107.839050292969
Lee Chia-Hua,University of Tokyo ,Japan ,History of Science,35.7133331298828,139.762222290039
Lee Sung-kyu,Seoul National University ,Japan ,History ,37.4599990844727,126.949996948242
Lee Misook,University of Tokyo ,Japan ,Political Science ,35.7133331298828,139.762222290039
,,,,,
Lee Ik-hwan,Yonsei University ,Korea ,Linguistics ,32.8453598022461,-96.796989440918
Lee Seung Hoon,Seoul National University ,Korea ,Economics ,37.4599990844727,126.949996948242
Lee Young-Jin,Chonbuk National University ,Korea ,Law ,35.7442817687988,127.166305541992
Lee Sung-Won,Seoul National University ,Korea ,English ,37.4599990844727,126.949996948242
Lee Chongmin,Chonbuk National University ,Korea ,English Linguistics ,35.7442817687988,127.166305541992
Lee Jungsook,,,,,
Lee Jongsook,Seoul National University ,Korea ,English ,37.4599990844727,126.949996948242
Lee Fong-Mao,,Taiwan,,,
Lee Joung-woo,Kyungpook National University ,Korea ,Economics ,32.9052963256836,-117.243560791016
Lee Soomi,Seoul National University ,Korea ,Art History ,37.4599990844727,126.949996948242
Lee Ki Dong,,Korea ,,,
Lee Chongmin,Chonbuk National University ,Korea ,,35.7442817687988,127.166305541992
Lee Young-jin,,,Law ,,
Lee Song-Mu,,,,,
Lee Din-yi,National Chengchi University,Taiwan,Modern Chinese History,46.9460830688477,7.43722105026245
Lee Chien-min,Academia Sinica ,Taiwan,History of Medicine,40.5150184631348,20.8693809509277
Lee Kwang-rin,Sogang University ,Korea ,Modern Korean History ,37.5496406555176,126.924858093262
Lee Hyeon Jung,Seoul National University ,Korea ,Anthropology,37.4599990844727,126.949996948242
Lee Yung-sup,Ewha Womans University,Korea ,Law ,32.8453598022461,-96.796989440918
Lee Sung-Yup,Kyoto University,Japan ,History ,35.0262107849121,135.780838012695
Lee Ki-moon,Seoul National University ,Korea ,Korean Linguistics,37.4599990844727,126.949996948242
Lee Wan Bom,Academy of Korean Studies ,Korea ,Political Science ,42.7923316955566,-77.3426208496094
Lee Kong-bum,Sungkyunkwan University ,Korea ,Medieval Chinese History,32.8453598022461,-96.796989440918
Lee  Miseon,Hanyang University,Korea ,Linguistics ,36.755867,126.30135
Lee Sanghoun,Seoul National University ,Korea ,History ,37.4599990844727,126.949996948242
Lee Sung-nyong,Hanyang University,Korea ,Korean Linguistics,36.755867,126.30135
Lee Kibaik,Sogang University ,Korea ,Korean History,37.5496406555176,126.924858093262
Lee Moon Young,Korea University,Korea ,Public Administration ,36.4511566162109,127.861145019531
Lee Hunmi,Seoul National University ,Korea ,International Relations ,37.4599990844727,126.949996948242
Lee Mei-hsien,National Taiwan University,Taiwan,Russian History ,23.7489929199219,120.971282958984
Lee W. S. Sylvia,Chinese University of Hong Kong ,Hong Kong ,Art History ,22.2841663360596,114.13777923584
Lee Kok-huat,University of Malaya,Malaysia,Economics ,24.03782081604,86.5390014648438
Lee Ching Kwan,Chinese University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Lee Seung Joon,National University of Singapore,Singapore ,History ,1.29555594921112,103.776664733887
Lee Kyung-Shik,Seoul National University ,Korea ,English Drama ,37.4599990844727,126.949996948242
Lee Kang-Lae,Chonnam National University ,Korea ,History ,34.8679008483887,126.990997314453
Lee Ju-Eun,Harvard University,Korea ,Linguistics ,42.3734741210938,-71.1179580688477
Lee Soyoung,Korea University,Korea ,Law ,36.4511566162109,127.861145019531
Lee Pyong-Ju,Han Nam University,Korea ,American Literature ,37.539708,127.004778
Lee Yung-San,National Taiwan University,Taiwan,Economics ,23.7489929199219,120.971282958984
Lee Iksop,Seoul National University ,Korea ,Korean Linguistics,37.4599990844727,126.949996948242
Lee Jen-der,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Lee Kam Hing,University of Malaya,Malaysia,Southeast Asian History ,24.03782081604,86.5390014648438
Lee Minhaeng,Yonsei University ,Korea ,Linguistics ,32.8453598022461,-96.796989440918
Lee Sangsup,Yonsei University ,Korea ,Comparative Literature,32.8453598022461,-96.796989440918
Lee Yoo-jick,Miryang National University,Korea ,History ,35.513536,128.841753
Lee Ha-kyoung,Seoul National University ,Korea ,Political Science ,37.4599990844727,126.949996948242
Lee Soo Ann,National University of Singapore,Singapore ,Economics ,1.29555594921112,103.776664733887
Lee Dong Won,Ewha Womans University,Korea ,Sociology ,32.8453598022461,-96.796989440918
Lee Nam Young,Seoul National University ,Korea ,Philosophy,37.4599990844727,126.949996948242
,,,,,
Lee Tae Dong,Sogang University ,Korea ,English Literature,37.5496406555176,126.924858093262
Lee Bangsook,Yonsei University ,Korea ,Music ,32.8453598022461,-96.796989440918
Lee Sung Mu,Academy of Korean Studies ,Korea ,Korean History,42.7923316955566,-77.3426208496094
Lei Wen,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Lei Hsiang-lin,National Tsing Hua University,Taiwan,History of Medicine,34.5125885009766,109.771896362305
Lertchoosakul Kanokrat,London School of Economics and Political Science,Thailand,Political Science ,51.5138893127441,-0.116939999163151
Leung Janny (Hiu Chi),University of Hong Kong ,Hong Kong ,Law ,22.2841663360596,114.13777923584
Leung Angela Ki-che,Academia Sinica ,Taiwan,Chinese History ,40.5150184631348,20.8693809509277
Li Yueyan,Nanjing University,China ,Literature,32.0561103820801,118.775001525879
Li Qingquan,Guangzhou Academy of Fine Arts,China ,Art History ,23.1290798187256,113.264358520508
Li Xinwei,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Li Moran,Wuhan University,China ,Archaeology ,30.5408306121826,114.361106872559
Li Zheng,Peking University ,China ,History ,39.9897232055664,116.305274963379
Li Fangyao,Peking University ,China ,Medieval Chinese History,39.9897232055664,116.305274963379
Li Shuicheng,Peking University ,China ,Archaeology ,39.9897232055664,116.305274963379
Li Chaojie,Peking University ,China ,Philosophy,39.9897232055664,116.305274963379
Li Dahua,,China ,,,
Li Ming Hua,,China ,,,
Li Minju,Peking University ,China ,Archaeology ,39.9897232055664,116.305274963379
Li Jialu,Harvard University,China ,Political Science ,42.3734741210938,-71.1179580688477
Li Tiangang,Shanghai Academy of Social Sciences ,China ,History ,31.2026710510254,121.511947631836
Li Zhen,Peking University ,China ,Chinese Philosophy,39.9897232055664,116.305274963379
Li Yongning,,,Sociology ,,
Li Haihong,Harvard University,China ,History ,42.3734741210938,-71.1179580688477
Li Deying,Sichuan University,China ,Chinese History ,30.6250896453857,102.697280883789
Li Haihong,Harvard University,China ,,42.3734741210938,-71.1179580688477
Li Shang-jen,Academia Sinica ,Taiwan,History of Medicine,40.5150184631348,20.8693809509277
Li He,Chinese Academy of Social Sciences,China ,Philosophy,34.0215530395508,-118.283737182617
Li Xiaojie,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Li Yi-yuan,Academia Sinica ,Taiwan,Social Anthropology ,40.5150184631348,20.8693809509277
Li Cho-Ying,Harvard University,Taiwan,Chinese Literature,42.3734741210938,-71.1179580688477
Li Lifeng,Nanjing University,China ,Political Science ,32.0561103820801,118.775001525879
Li Jienhui,Sun Yat-sen University,China ,History ,14.3601770401001,-14.4676847457886
Li Ren-yuan,Harvard University,Taiwan,History ,42.3734741210938,-71.1179580688477
Li Mei-chih,National Chengchi University,Taiwan,Psychology,46.9460830688477,7.43722105026245
Li Meng-tao,Sichuan University,China ,English Literature,30.6250896453857,102.697280883789
Li Siyi,Chinese University of Hong Kong ,Hong Kong ,Cultural Studies,22.2841663360596,114.13777923584
Li Xiaofang,Shandong University ,China ,Sociology ,36.4687118530273,118.517127990723
Li Xiaotao,Sichuan University,China ,English Literature,30.6250896453857,102.697280883789
Li Xinfeng,Peking University ,China ,History ,39.9897232055664,116.305274963379
Li Jianjun,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Li Guo,Sun Yat-sen University,China ,Anthropology,14.3601770401001,-14.4676847457886
Li Kang,Peking University ,China ,Sociology ,39.9897232055664,116.305274963379
Li Xianghai,,,Philosophy,,
Li Silong,Peking University ,China ,Buddhism,39.9897232055664,116.305274963379
Liang Huang,Harvard University,China ,Psychology,42.3734741210938,-71.1179580688477
Liang Chi-yuan,Academia Sinica ,Taiwan,Economics ,40.5150184631348,20.8693809509277
Liang Ying-Ming,Peking University ,China ,Southeast Asian History ,39.9897232055664,116.305274963379
Liang Chi-yuan,Academia Sinica ,Taiwan,Economics ,40.5150184631348,20.8693809509277
Liang Yingming,,China ,,,
,,,,,
Liang Tao,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Liang Zhao,Sichuan University,China ,Comparative Literature,30.6250896453857,102.697280883789
Liang Caleb,National Taiwan University,Taiwan,Philosophy,23.7489929199219,120.971282958984
Liang Chongyi,Peking University ,China ,Comparative Literature,39.9897232055664,116.305274963379
Liang Dandan,Fudan University,China ,Comparative Literature,31.2988891601562,121.499168395996
Liang Hongsheng,,China ,,,
Liao Chao-yang,National Taiwan University,Taiwan,,23.7489929199219,120.971282958984
Liao Yang,Chinese Academy of Social Sciences,China ,Art History ,34.0215530395508,-118.283737182617
Liao Hsien-hao,National Taiwan University,Taiwan,Literature,23.7489929199219,120.971282958984
Liao Shen-bai,Chinese Academy of Social Sciences,China ,Ethics,34.0215530395508,-118.283737182617
Liao Ping-Hui,National Tsing Hua University,Taiwan,Comparative Literature,34.5125885009766,109.771896362305
Liao Kebin,Zhejiang University ,China ,Literature,30.2636108398438,120.120826721191
Lim Jong Tae,Seoul National University ,Korea ,History of Science,37.4599990844727,126.949996948242
Lim Chooi Kwa,University of Malaya,Malaysia,Comparative Literature,24.03782081604,86.5390014648438
Lim Chaeyoon,Harvard University,Korea ,Sociology ,42.3734741210938,-71.1179580688477
Lim Jie-Hyun,Hanyang University,Korea ,History ,36.755867,126.30135
Lin Chen-kuo,National Chengchi University,,Buddhism,46.9460830688477,7.43722105026245
Lin Runhui,Nankai University ,China ,Governance,39.1381492614746,117.150108337402
Lin Jiali,,China ,,,
Lin Wei-ping,National Taiwan University,Taiwan,Anthropology,23.7489929199219,120.971282958984
Lin Hongxing,Fudan University,China ,Chinese Philosophy,31.2988891601562,121.499168395996
Lin Mei-yi,,Taiwan,,,
Lin Pei-yin,University of Hong Kong ,Hong Kong ,Literature,22.2841663360596,114.13777923584
Lin Juren,Shandong University ,China ,Sociology ,36.4687118530273,118.517127990723
Lin Tien-wai,University of Hong Kong ,Hong Kong ,Chinese History ,22.2841663360596,114.13777923584
Lin Chen-Kuo,National Taiwan University,Taiwan,Economics ,23.7489929199219,120.971282958984
Lin Jian,Peking University ,China ,Buddhism,39.9897232055664,116.305274963379
Lin Li-yueh,National Taiwan Normal University ,Taiwan,Chinese History ,23.7489929199219,120.971282958984
Lin Zhu,Tsinghua University ,China ,Architecture,40,116.326667785645
Lin Tao,Harvard University,China ,Political Science ,42.3734741210938,-71.1179580688477
Lin Yueh-hui,Academia Sinica ,Taiwan,Literature,40.5150184631348,20.8693809509277
Liu Xiaogan,National University of Singapore,Singapore ,Chinese Philosophy,1.29555594921112,103.776664733887
Liu Tsen-kuei,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Liu Dehuan,Peking University ,China ,Sociology ,39.9897232055664,116.305274963379
Liu He,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Liu Qingping,Wuhan University,China ,Aesthetics,30.5408306121826,114.361106872559
Liu Jingyu,,China ,Religious Studies,,
Liu Jen-Peng,National Tsing Hua University,Taiwan,Comparative Literature,34.5125885009766,109.771896362305
Liu Jianhua,Peking University ,China ,English ,39.9897232055664,116.305274963379
Liu Ping,Shandong University ,China ,History ,36.4687118530273,118.517127990723
Liu Brenda Chun,Chinese University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Liu Yuan-ju,Academia Sinica ,Taiwan,Literature,40.5150184631348,20.8693809509277
Liu Chiung-yun Evelyn,Academia Sinica ,Taiwan,Literature,40.5150184631348,20.8693809509277
Liu Guoxiang,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Liu Zhijun,Zhejiang University ,China ,Anthropology,30.2636108398438,120.120826721191
Liu Fei-Wen,Academia Sinica ,Taiwan,Anthropology,40.5150184631348,20.8693809509277
Liu Yanwen,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Liu Zhen,Fudan University,China ,History ,31.2988891601562,121.499168395996
Liu Heng,Capital Normal University,China ,Anthropology,48.5583686828613,-123.688278198242
Liu Yonghua,Xiamen University ,China ,History ,24.4795093536377,118.089477539062
,,,,,
Liu Chiung-yun Evelyn,Academia Sinica ,Taiwan,Literature,40.5150184631348,20.8693809509277
Liu Yuan-ju,Academia Sinica ,Taiwan,Literature,40.5150184631348,20.8693809509277
Liu Guoxiang,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Liu Zhijun,Zhejiang University ,China ,Anthropology,30.2636108398438,120.120826721191
Liu Fei-Wen,Academia Sinica ,Taiwan,Anthropology,40.5150184631348,20.8693809509277
Liu Yanwen,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Liu Heng,Capital Normal University,China ,Anthropology,48.5583686828613,-123.688278198242
Liu Yonghua,Xiamen University ,China ,History ,24.4795093536377,118.089477539062
Liu Zhen,Fudan University,China ,History ,31.2988891601562,121.499168395996
Liu Houbin,,China ,History ,,
Liu Haiping,Nanjing University,China ,American Literature ,32.0561103820801,118.775001525879
Liu Mengxi,,,,,
Liu Xueshun,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Liu Li-yen,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Liu Chin-sui,National Taiwan University,Taiwan,Paleography ,23.7489929199219,120.971282958984
Liu Yiran,Tsinghua University ,China ,Sociology ,40,116.326667785645
Liu Zhao,University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Liu Wan-jong,National Taiwan University,Taiwan,Economics ,23.7489929199219,120.971282958984
Liu Ying,Sichuan University,China ,Comparative Literature,30.6250896453857,102.697280883789
Liu Yuyu,Sun Yat-sen University,China ,English ,14.3601770401001,-14.4676847457886
Liu Pin-hsiung,Academia Sinica ,Taiwan,Mathematical Anthropology ,40.5150184631348,20.8693809509277
Liu Shi-yung,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Lo Lien-t'ien,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Loh Wai-Fong,,,,,
Loh Boon Piah,Nanyang University,Singapore ,Political Science ,32.9907302856445,112.528511047363
Long Denggao,Tsinghua University ,China ,Economic History,40,116.326667785645
Long Darui,Chinese Academy of Social Sciences,China ,Chinese Buddhism,34.0215530395508,-118.283737182617
Long Xiao,Shandong University ,China ,Archaeology ,36.4687118530273,118.517127990723
Long Xiangyang,Fudan University,China ,Literature,31.2988891601562,121.499168395996
Loo Shaw Chang,Nanyang University,Singapore ,Chinese Literature,32.9907302856445,112.528511047363
Lu Yijing,Harvard University,China ,Linguistics ,42.3734741210938,-71.1179580688477
Lu Nichimin,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Lu Yuwei,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Lu Huilin,Chinese University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Lu Shih-peng,Tunghai University,Taiwan,Chinese History ,32.8453598022461,-96.796989440918
LÜ Hongliang,Sichuan University,China ,Archaeology ,30.6250896453857,102.697280883789
Lu Shih-chiang,Academia Sinica ,Taiwan,Chinese History ,40.5150184631348,20.8693809509277
Lu Fan,Shandong University ,China ,American Literature ,36.4687118530273,118.517127990723
Lu Miaw-Fen,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Lu Yun (Alan),Academia Sinica ,Taiwan,Economics ,40.5150184631348,20.8693809509277
Lu Jianti,Wuhan University,China ,Political Science ,30.5408306121826,114.361106872559
Lui Yuen-cheng (Adam),University of Hong Kong ,Hong Kong ,Chinese History ,22.2841663360596,114.13777923584
Luk Bernard Hung-kay,Chinese University of Hong Kong ,Hong Kong ,Chinese History ,22.2841663360596,114.13777923584
Luo Liang,Harvard University,China ,Literature,42.3734741210938,-71.1179580688477
Luo Xin,Peking University ,China ,History ,39.9897232055664,116.305274963379
Luo Yinan,Harvard University,China ,Chinese History ,42.3734741210938,-71.1179580688477
Luo Changyan,Nanjing University,China ,English ,32.0561103820801,118.775001525879
Luo Fengli,Chinese Academy of Social Sciences,China ,English ,34.0215530395508,-118.283737182617
Luo Siqi,Sun Yat-sen University,China ,Political Science ,14.3601770401001,-14.4676847457886
Luu Anh Tuyet,National Center for Social Sciences and Humanities,Vietnam ,English Education ,34.0215530395508,-118.283737182617
,,,,,
Ma Rui,Sichuan University,China ,Philosophy,30.6250896453857,102.697280883789
Ma Xiaolu,,China ,Comparative Literature,,
Ma Jianxiong,Hong Kong University of Science and Technology,Hong Kong ,Anthropology,22.3374996185303,114.263000488281
Ma Shiqi,Harvard University,China ,Political Science ,42.3734741210938,-71.1179580688477
Ma Ying,Wuhan University,China ,Economics ,30.5408306121826,114.361106872559
Ma Xue-qiang,Shanghai Academy of Social Sciences ,China ,History ,31.2026710510254,121.511947631836
Ma Xiao-he,Fudan University,China ,History ,31.2988891601562,121.499168395996
Maeda Kingoro,Senshu University ,Japan ,Japanese Literature ,32.8453598022461,-96.796989440918
Maegawa Keiji,Tsukuba University,Japan ,Anthropology,36.0349006652832,140.080154418945
Mai Huijun,Harvard University,China ,Classical Chinese Literature,42.3734741210938,-71.1179580688477
Mai Chao-cheng,Academia Sinica ,Taiwan,Economics ,40.5150184631348,20.8693809509277
Makabe Jin,Hokkaido University ,Japan ,Political Science ,43.5393257141113,142.437515258789
Maki Atsushi,,Japan ,Economics ,,
Makino Motonori,Toyo Bunko,Japan ,Area Studies,35.7312812805176,139.748565673828
Makino Tatsumi,Osaka University,Japan ,Sociology ,34.8191680908203,135.526672363281
Man Thomas Yunlong,Peking University ,China ,American History,39.9897232055664,116.305274963379
Mao Jian,East China Normal University,China ,Chinese cinema,42.7576217651367,-82.4837265014648
Mao Lihua,Peking University ,China ,Psychology,39.9897232055664,116.305274963379
Mao Han-Kuang,Academia Sinica ,Taiwan,Chinese History ,40.5150184631348,20.8693809509277
Marumoto Mika,Yonsei University ,Korea ,Economics ,32.8453598022461,-96.796989440918
Masaoka Kazue,Nagoya University ,Japan ,English Literature,35.1506500244141,136.919036865234
Masuda Shozo,University of Tokyo ,Japan ,Ethnology ,35.7133331298828,139.762222290039
Masuo Chisako Teshima,Kyushu University ,Japan ,Political Science ,33.6278381347656,130.422973632812
Masutani Satoyoshi,Hitotsubashi University ,Japan ,English Literature,32.8453598022461,-96.796989440918
Matsumura Tomomi,Keio University ,Japan ,Japanese Literature ,35.6491661071777,139.742782592773
Matsuo Takayoshi,Kyoto University,Japan ,Japanese History,35.0262107849121,135.780838012695
Matsuoka Hiroshi,Osaka University,Japan ,Law ,34.8191680908203,135.526672363281
Matsushima Junkichi,Osaka University,Japan ,Law ,34.8191680908203,135.526672363281
Matsuzaki Hiroko,University of Tokyo ,Japan ,Taiwanese and Chinese Literature,35.7133331298828,139.762222290039
Mei Chia-ling,National Taiwan University,Taiwan,Chinese Literature,23.7489929199219,120.971282958984
Mei Kuang,National Taiwan University,Taiwan,Linguistics ,23.7489929199219,120.971282958984
Meng Yue,Chinese Academy of Social Sciences,China ,Comparative Literature,34.0215530395508,-118.283737182617
Meng Hui-ying,Chinese Academy of Social Sciences,China ,Anthropology,34.0215530395508,-118.283737182617
Mikuriya Takashi,Tokyo Metropolitan University ,Japan ,Law ,35.6899261474609,139.691757202148
Min Suk-hong,Seoul National University ,Korea ,European History,37.4599990844727,126.949996948242
Min Tuki,Seoul National University ,Korea ,History ,37.4599990844727,126.949996948242
Min Kyung-hwan,Seoul National University ,Korea ,Psychology,37.4599990844727,126.949996948242
Minn Young-gyu,Yonsei University ,Korea ,Art History ,32.8453598022461,-96.796989440918
Misumi Jyuji,Osaka University,Japan ,Social Psychology ,34.8191680908203,135.526672363281
Mitani Hiroshi,University of Tokyo ,Japan ,History ,35.7133331298828,139.762222290039
Miura Shuichi,Tohoku University ,Japan ,Chinese Philosophy,38.9000015258789,140.682998657227
Miyake Kazuo,Hokkaido University ,Japan ,Developmental Psychology,43.5393257141113,142.437515258789
Miyamoto Kazuo,Kyushu University ,Japan ,Archaeology ,33.6278381347656,130.422973632812
Miyazaki Noriko,Mie University,Japan ,Art History ,34.4795684814453,136.454086303711
Miyazawa Setsuo,Kobe University ,Japan ,Law ,34.7038803100586,135.222427368164
Mizoguchi Yuzo,,,,,
Mizoguchi Toshiyuki,Hitotsubashi University ,Japan ,Economics ,32.8453598022461,-96.796989440918
Mizuno Masaichi,Nagoya University ,Japan ,Economic Theory ,35.1506500244141,136.919036865234
Mizuno Tadatsune,Tohoku University ,Japan ,Law ,38.9000015258789,140.682998657227
Mizuno Tadatsune,Tohoku University ,Japan ,Law ,38.9000015258789,140.682998657227
,,,,,
Mizuno Naoki,Kyoto University,Japan ,Korean History,35.0262107849121,135.780838012695
Mizutani Shizuo,Tokyo Woman's Christian University,Japan ,Japanese Philology,35.6899261474609,139.691757202148
Mo Lifeng,Nanjing University,China ,Comparative Literature,32.0561103820801,118.775001525879
Mochizuki Reijiro,Chiba University,Japan ,Law ,35.6073989868164,140.134368896484
Mok Xiao You,Harvard University,Singapore ,East Asian Studies,42.3734741210938,-71.1179580688477
Moon Ji Young,Sogang University ,Korea ,Political Science ,37.5496406555176,126.924858093262
Moon Sahng Young,Yonsei University ,Korea ,English Literature,32.8453598022461,-96.796989440918
Moon Yumi,Harvard University,Korea ,History ,42.3734741210938,-71.1179580688477
Moon Hak Sook,Yeungnam Technical College,Korea ,English and American  Literature,40.6957778930664,-73.9879760742188
Moon Ok-Pyo,Academy of Korean Studies ,Korea ,Anthropology,42.7923316955566,-77.3426208496094
Moon Hi Kyung,Korea University,Korea ,English Literature,36.4511566162109,127.861145019531
Moon Kyungnam,University of Tokyo ,Japan ,Philosophy,35.7133331298828,139.762222290039
Morioka Keiichiro,Keio University ,Japan ,European History,35.6491661071777,139.742782592773
Morishima Akio,Nagoya University ,Japan ,Civil Law ,35.1506500244141,136.919036865234
Morita Yoshinori,Gakushuin University,Japan ,Metaphysics,32.8453598022461,-96.796989440918
Motoyama Yukihiko,Kyoto University,Japan ,Japanese History,35.0262107849121,135.780838012695
Muranushi Koichi,Nagoya University ,Japan ,English Literature,35.1506500244141,136.919036865234
Murata Yujiro,University of Tokyo ,Japan ,Intellectual History,35.7133331298828,139.762222290039
Murata Sachiko,,,Law ,,
Nagai Yonosuke,Tokyo Institute of Technology ,Japan ,Political Science ,35.6899261474609,139.691757202148
Nagasawa Yuko,Korea University,Korea ,Political Science ,36.4511566162109,127.861145019531
Nah Kyung-soo,Kyungpook National University ,Korea ,Economics ,32.9052963256836,-117.243560791016
Nahm Choon-ho,Chonbuk National University ,Korea ,Sociology ,35.7442817687988,127.166305541992
Naito Hiroko,Keio University ,Japan ,Political Science ,35.6491661071777,139.742782592773
Naito Mariko,University of Tokyo ,Japan ,Area Studies,35.7133331298828,139.762222290039
Nakagawa Keiichiro,University of Tokyo ,Japan ,Business History,35.7133331298828,139.762222290039
Nakagawa Manabu,Hitotsubashi University ,Japan ,Economic History,32.8453598022461,-96.796989440918
Nakajima Takahiro,University of Tokyo ,Japan ,Philosophy,35.7133331298828,139.762222290039
Nakamura Hiyoshi,Gakushuin University,Japan ,Social Psychology ,32.8453598022461,-96.796989440918
Nakamura Koichi,Kyoto University,Japan ,English and American  Literature,35.0262107849121,135.780838012695
Nakamura Koichi,Kyoto University,Japan ,English and American  Literature,35.0262107849121,135.780838012695
Nakanishi Nobutaro,Kyoto University,Japan ,English Literature,35.0262107849121,135.780838012695
